,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp,Timestamp
0,1,Bitcoin,BTC,bitcoin,10353,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem']",21000000.0,19435093.0,19435093.0,False,,1,,,,2023-07-21T07:38:00.000Z,29778.802815322233,14686229973.193924,9.2655,-0.19746635,-0.87841339,-4.62453146,3.16482305,10.87758482,8.89281242,578753802144.4495,48.2597,625354859121.77,,2023-07-21T07:38:00.000Z,,,,,,2023-07-21 14:00:37.508043,
1,1027,Ethereum,ETH,ethereum,7140,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'layer-1']",,120195141.29749367,120195141.29749367,True,,2,,,,2023-07-21T07:38:00.000Z,1888.994466067654,7091071018.718904,20.7166,-0.18690481,-1.11523365,-5.62673449,4.24499917,4.32641774,1.7951004,227047956759.18527,18.9289,227047956759.19,,2023-07-21T07:38:00.000Z,,,,,,2023-07-21 14:00:37.508043,
2,825,Tether USDt,USDT,tether,57460,2015-02-25T00:00:00.000Z,"['payments', 'stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,83819295816.65376,86707788905.0465,True,,3,,,,2023-07-21T07:38:00.000Z,1.0000859683222718,25565527740.50256,14.7847,-0.00511316,-0.01467093,-0.05222455,0.01693399,-0.00852387,-0.0344689,83826501620.88913,6.9912,86715243028.19,,2023-07-21T07:38:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2023-07-21 14:00:37.508043,
3,52,XRP,XRP,xrp,997,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio']",100000000000.0,52544091958.0,99988621362.0,False,,4,,,,2023-07-21T07:38:00.000Z,0.7801055397037476,2348413901.614379,-29.6216,-1.26789816,-1.24604475,1.19562365,57.79945469,69.05311032,72.3631586,40989937215.13894,3.4186,78010553970.37,,2023-07-21T07:38:00.000Z,,,,,,2023-07-21 14:00:37.508043,
4,1839,BNB,BNB,bnb,1525,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,153856870.92666784,153856870.92666784,False,,5,,,,2023-07-21T07:38:00.000Z,243.27246221324785,489343364.6493533,-35.2065,-0.10827586,0.14462503,-6.05816973,-2.52398015,-20.86245718,-24.73120866,37429139818.756355,3.1217,37429139818.76,,2023-07-21T07:38:00.000Z,,,,,,2023-07-21 14:00:37.508043,
5,3408,USD Coin,USDC,usd-coin,13396,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'hedera-hashgraph-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,26913374367.253212,26913374367.253212,False,,6,,,,2023-07-21T07:38:00.000Z,1.0000065840333754,3120107439.0236087,8.2316,-0.01084814,-0.00066065,-0.01263566,-0.00895663,-0.00670729,-0.0200464,26913551565.80829,2.2446,26913551565.81,,2023-07-21T07:38:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2023-07-21 14:00:37.508043,
6,2010,Cardano,ADA,cardano,878,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'sec-security-token', 'alleged-sec-securities']",45000000000.0,34986721818.464,35999133396.871,False,,7,,,,2023-07-21T07:38:00.000Z,0.31322335600968815,284463713.6673827,-17.4826,-0.5744495,-1.25638495,-11.36939313,12.34162699,-13.88322263,-18.96274554,10958658423.756672,0.914,14095051020.44,,2023-07-21T07:38:00.000Z,,,,,,2023-07-21 14:00:37.508043,
7,5426,Solana,SOL,solana,490,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okex-blockdream-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities']",,403867993.89624214,552977704.0785625,True,,8,,,,2023-07-21T07:38:00.000Z,25.207879352741163,583508512.0799277,-12.3699,-0.49141849,-4.43716062,-11.34632247,49.49224555,27.84662216,18.01401328,10180655664.570076,0.8488,13939395249.17,,2023-07-21T07:38:00.000Z,,,,,,2023-07-21 14:00:37.508043,
8,74,Dogecoin,DOGE,dogecoin,748,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain']",,140259856383.70523,140259856383.70523,True,,9,,,,2023-07-21T07:38:00.000Z,0.07139435523401694,651761622.5461217,133.3676,-0.99138465,3.01907271,1.40433107,10.39191634,-0.61840275,-9.77590107,10013762011.73045,0.8348,10013762011.73,,2023-07-21T07:38:00.000Z,,,,,,2023-07-21 14:00:37.508043,
9,1958,TRON,TRX,tron,792,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'sec-security-token', 'alleged-sec-securities']",,89718864554.92064,89718956576.8705,True,,10,71659659264.0,5785441065.01929,,2023-07-21T07:38:00.000Z,0.08073497870964269,171158033.3720499,12.334,-0.11065991,1.07443622,-1.39448357,13.29588815,6.39812771,24.03065323,7243450619.694834,0.604,7243458049.08,,2023-07-21T07:38:00.000Z,,,,,,2023-07-21 14:00:37.508043,
